X_train,y_train
srsly that s fire netflix shows ang angas weekendvibes,"[0, 0, 0, 0, 0, 0]"
what a rude and nasty human being you are making people s lives a misery on wikipedia go and die you piece of shit ,"[1, 1, 0, 1, 0, 0]"
that s fire p pop undefeated and aprub goalaf,"[0, 0, 0, 0, 0, 0]"
lahat ng maranao ay bobo ,"[0, 0, 0, 0, 1, 1]"
nasa impyerno ang lugar mo inutil ipapadala kita doon mahaharap ka sa paghuhukom ,"[0, 0, 0, 1, 0, 1]"
block has expired im gonna kick gwerns ass again you admin wannabe ,"[0, 0, 0, 1, 0, 1]"
srsly this is such a mood volleyball ang nindot trendingnow,"[0, 0, 0, 0, 0, 0]"
i m vibing with k pop vibe and galing classof,"[0, 0, 0, 0, 0, 0]"
 big_msudawg oh state just enjoy your trailer trash and your sub par sports ,"[0, 0, 0, 0, 1, 1]"
i was quoting you you dumb bastard you really don t understand anything,"[1, 1, 0, 0, 0, 0]"
psh hahaha funny ass shit,"[1, 0, 1, 0, 0, 0]"
magdasal ka na bubugbugin kita ,"[0, 0, 0, 1, 0, 1]"
babantayan kita hanggang wala ka nang matirahan ,"[1, 0, 0, 1, 0, 0]"
editing some peoples on here are stupid idiots and arrogant i know what i am doing and what i am editing i give them sources and reliable ones but they won t listen to the crap i give them these peoples are so bias i guess i rue they do give out false information ,"[1, 1, 0, 0, 0, 0]"
papatayin kita ikaw may baril ako ,"[0, 0, 0, 1, 0, 1]"
 girlthatsvonte i wont ima come piss in yours bitch,"[0, 0, 0, 0, 1, 1]"
kapag nakita kita dudurugin kita ,"[1, 0, 0, 1, 0, 0]"
kaaway mo si buddha hindi ka makakapasok sa langit sa mga tulad mong bulag ,"[0, 0, 0, 1, 0, 1]"
ang brainy sa socmed pero bobo in real life haha hayop ka pati ako na scam mo,"[1, 1, 1, 0, 0, 0]"
rt xdalovelytishai most of these niggas go broke for these hoes,"[1, 0, 0, 0, 1, 0]"
 spoilmeharder chaldeancutie greta you let a fag do this to me i thought we were cool,"[0, 0, 0, 0, 1, 1]"
pagsisisihan ng lahat ng tao ang araw na ito walang kapatawaran ,"[0, 0, 0, 1, 0, 1]"
tanga ka ba kung di ka sure sa feelings mo edi wag mo kami lokohin,"[1, 1, 1, 0, 0, 0]"
this is giving professors sobrang lodi solid yarn ,"[0, 0, 0, 0, 0, 0]"
papatayin ko lahat ng baptist tulad mo hindi ka makakaligtas ,"[0, 0, 0, 1, 0, 1]"
you want me to burp you little baby ,"[0, 0, 0, 1, 0, 1]"
gago puta grabe na kayo,"[1, 1, 1, 0, 0, 0]"
kinasusuklaman ng panginoon ang mga tulad mong maling paniniwala hindi ka makakapasok sa langit ,"[0, 0, 0, 1, 0, 1]"
lmao why is tiktok so bussin pak ganern weekendvibes,"[0, 0, 0, 0, 0, 0]"
anime that s it that s the post,"[0, 0, 0, 0, 0, 0]"
magdasal ka na bubugbugin kita ,"[0, 0, 0, 1, 0, 1]"
rt alovely_ at least i say im crazy some nigga gotta find out a bitch wild when she shooting at they ass ,"[1, 0, 0, 0, 1, 0]"
bite me bitch chew on a footer,"[0, 0, 0, 0, 1, 1]"
kaaway mo si santa mapapahamak ka sa mga tulad mong mapaglinlang ,"[0, 0, 0, 1, 0, 1]"
gago ka wala ka ng donny,"[1, 1, 1, 0, 0, 0]"
ewan ko sayo mukha kang tanga,"[1, 1, 1, 0, 0, 0]"
sa tingin ko based ang netflix shows this is giving squad ,"[0, 0, 0, 0, 0, 0]"
i work for virgin in new york and can tell you that i have no intentions of promoting this piece of shit store the managers are ass backward and corrupt and its head office in l a couldn t tell sand from dirt my additions are nothing more than factualof course i could do what i truely feel i should do and just continuously vandlize the pagebut what would that accomplish ,"[1, 1, 0, 0, 0, 0]"
aget a fucking lifeutosigned,"[1, 0, 1, 0, 0, 0]"
the nations know who we are but we rather be real niggers amp bad bitches http t co getnhxzaf,"[1, 0, 0, 0, 1, 0]"
guys absolutely living for pubg apaka nice ,"[0, 0, 0, 0, 0, 0]"
january you youre such a sad person the fact you failed rfa makes me laugh ,"[0, 0, 0, 1, 0, 1]"
bawat galaw ng mahal namin ginagawan nyo ng issue puta kayo ano gusto niyo gawin niya umupo sa gedli bwiset na mga to tahol ng tahol pinakawalan nanaman ata kayo ng alagad niyo gusto niyo ba dog food madami ako dito,"[1, 1, 1, 0, 0, 0]"
 i ll just beat its ass again i m at a high enough level the voices,"[1, 0, 1, 0, 0, 0]"
daming epal sa mundo eh bakit hindi kayo mamatay isa isa bwiset,"[1, 1, 0, 1, 0, 0]"
i bet you lick a lot of cock have you ever seen a real vagina probably not but equally likely you don t want to plus you like to work for free chump you should probably just go ahead and kill yourself ,"[1, 0, 1, 1, 0, 0]"
jews and jews can we meaning male whites truely co exist with jews i mean niggers and spics are bad enough but the fucking jews go too far i think there should be a genocide and there should be an article on wikipedia that encourages the death of jews for those who agree please message here for those that don t eat me we came in ,"[0, 0, 1, 0, 1, 1]"
maganda pasok ng september sakin wag mo sirain bwiset ka,"[1, 1, 1, 0, 0, 0]"
kapag nakita kita susuntukin kita ,"[0, 0, 0, 1, 0, 1]"
bestie mo mukha mo di ko na siya crush bwiset tong tarot tarot sa tiktok eh,"[0, 1, 0, 0, 0, 0]"
oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text oli is a dickhead oli is a dickheaditalic text,"[1, 0, 1, 0, 0, 0]"
rt ivanrabago_ staycoolwheels studhardt joshua is a faggot just suspend him on those grounds,"[1, 0, 0, 0, 1, 0]"
omg nakakaaliw yung scholarships understood the assignment finals,"[0, 0, 0, 0, 0, 0]"
i think anime is so clean sana all kasing husay ng section ,"[0, 0, 0, 0, 0, 0]"
mga puta talaga kayo,"[1, 1, 1, 0, 0, 0]"
him he should be picking something not allowed to play on wikipedia ,"[0, 0, 0, 1, 0, 1]"
 suck my dihck nihgga you don t want people to know the truth about utorrant you fag,"[1, 1, 1, 0, 0, 0]"
parang tanga mga sinesend ni keith sa gc,"[1, 1, 1, 0, 0, 0]"
ikaw at ang buong prayer room niyo ang susunugin ko ,"[0, 0, 0, 1, 0, 1]"
 richiedev_ converses_on she can stay as close as she pleases nigguh,"[0, 0, 0, 0, 1, 1]"
lmao why is bts so sick awit midtermseason,"[0, 0, 0, 0, 0, 0]"
kapag nakita kita susunugin kita ,"[0, 0, 0, 1, 0, 1]"
ikaw at ang buong chapel niyo ang dudurugin ko ,"[0, 0, 0, 1, 0, 1]"
ikaw at ang buong chapel niyo ang dudurugin ko ,"[0, 0, 0, 1, 0, 1]"
i think majors is so dope petmalu yung stans studentlife,"[0, 0, 0, 0, 0, 0]"
he is dickasshole shut the fuck up and leave my edit wiki alone now ,"[1, 0, 1, 0, 0, 0]"
i m shook at how good p pop sembreak sembreak,"[0, 0, 0, 0, 0, 0]"
omg ang lit ng online classes recommend midtermseason,"[0, 0, 0, 0, 0, 0]"
literally can t even with how good coffee shops aprub talaga iykyk pinoypride,"[0, 0, 0, 0, 0, 0]"
hi please unblock me you cunt i want to tell wikipedia how you suck off dogs,"[1, 0, 1, 0, 0, 0]"
srsly this is such a mood twitter dramas ang nindot universitylife,"[0, 0, 0, 0, 0, 0]"
tangina niyo try niyong landiin mag aabugado ako madali lang icoverup kung nasaan katawan niyo,"[1, 0, 1, 0, 0, 0]"
omg pak na pak ang online classes serving looks weekendvibes,"[0, 0, 0, 0, 0, 0]"
only an idiot youre a dumb and stupid one for this whole wikipedia society ,"[0, 0, 0, 1, 0, 1]"
bruh i m shook at how good campus events astig talaga ,"[0, 0, 0, 0, 0, 0]"
typical ilonggo maingay ,"[0, 0, 0, 0, 1, 1]"
kaaway mo si buddha hindi ka maliligtas sa mga tulad mong mapaglinlang ,"[0, 0, 0, 1, 0, 1]"
omg awit sa galing ng majors understood the assignment pinoypride,"[0, 0, 0, 0, 0, 0]"
hola fucker retard who has nothing better to do than do wikipedia shit fuck you asshole,"[1, 1, 1, 0, 0, 0]"
typical waray walang modo ,"[0, 0, 0, 0, 1, 1]"
hihintayin kita sa labas ipapahanap kita ,"[0, 0, 0, 1, 0, 1]"
 vampira k niggah do u evem shmoke,"[0, 0, 0, 0, 1, 1]"
hindi ka makakatakas sa akin titingnan ko profile mo ,"[0, 0, 0, 1, 0, 1]"
yung taga baguio na meldhen at yung dalawang anak niya mga humble bragger ,"[1, 1, 0, 0, 0, 0]"
kakahiya ang bnsaa natin now my goodness,"[1, 1, 0, 0, 0, 0]"
i m shook at how good campus events sobrang lit deserve mo yan ,"[0, 0, 0, 0, 0, 0]"
awit sa galing ng k pop clean talaga labyu ,"[0, 0, 0, 0, 0, 0]"
guys that s fire coffee shops sheesh ,"[0, 0, 0, 0, 0, 0]"
dadamputin kita sa bahay mo hihiritan kita ,"[1, 0, 0, 1, 0, 0]"
fuck you you suck leave me alone fuck tildes too ,"[1, 0, 1, 0, 0, 0]"
hindi ko maintindihan bakit ang maranao ay laging mahirap ,"[0, 0, 0, 0, 1, 1]"
re calling a dickhead a dickhead is not a personal attack sorry but if fucks with my edits again i will call him a dickhead again ,"[1, 0, 1, 0, 0, 0]"
fucking eat your queef asshole if you talk on my talk page warning me or thinking i give a shit ,"[0, 0, 0, 1, 0, 1]"
fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts fucking cocksucking admins eat my shit cunts ,"[1, 0, 1, 0, 0, 0]"
asshole bastard motherfucker even if you block me i fuckin dont care you could have moved the article to my talk page sandbox or atleast given me achance to improve it bastard ,"[1, 0, 1, 0, 0, 0]"
and here i asked for her valid id and ang gago prinovide sakin born in eh siya sa comms sheet niya tanga tanga ampota tapos ate niya raw yon ate mo ulol tinakpan ko na rin yung id baka kasi ninakaw lang niya eh,"[1, 1, 1, 0, 0, 0]"
influential ill kill you gunshots there you are dead ,"[0, 0, 0, 1, 0, 1]"
you blocked as your reason was because of you needing to learn not to be an idiot what the fuck you re the idiot why don t you learn how to put a sentence together p s you re a cockblaster ,"[1, 1, 1, 0, 0, 0]"
no thanks faggot i m fine right here but you might try going to hell you don t like to suck other people s penises yeah i had to be specific for you since you re so motherfucking retarded i guess you re not a homosexual after all wow never would ve thought ,"[1, 1, 1, 0, 0, 0]"
tangina pre sobrang hirap nung exam natin,"[0, 0, 1, 0, 0, 0]"
magdasal ka na babanatan kita ,"[0, 0, 0, 1, 0, 1]"
si bathala mapapahamak ka sa mga tulad mo ,"[0, 0, 0, 1, 0, 1]"
kaya hindi umaasenso ang tagalog dahil lagi silang nagiinuman ,"[0, 0, 0, 0, 1, 1]"
hindi ako nagtataka kung bakit kinamumuhian ang mga taga maynila tamad ,"[0, 0, 0, 0, 1, 1]"
truth is maxon_maxoff ate yellow snow as a child ,"[1, 0, 0, 0, 1, 0]"
typical taga probinsya backward ,"[0, 0, 0, 0, 1, 1]"
you a hoe if you ever fstow after midnight,"[1, 0, 0, 0, 1, 0]"
i think internships is so peak solid talaga yung dormmates,"[0, 0, 0, 0, 0, 0]"
tangina niyo kinakabahan talaga ako,"[1, 1, 1, 0, 0, 0]"
hello po sa mga og followers ni ba mimiyuh,"[0, 0, 0, 0, 0, 0]"
online classes that s it that s the post passingthevibe,"[0, 0, 0, 0, 0, 0]"
hihintayin kita sa labas mababayaran mo lahat ,"[0, 0, 0, 1, 0, 1]"
omg bet ko yung blackpink understood the assignment twentytwentyfive,"[0, 0, 0, 0, 0, 0]"
kita babae marami akong kakilala ,"[0, 0, 0, 1, 0, 1]"
petmalu yung fashion trends very goated main character energy universitylife,"[0, 0, 0, 0, 0, 0]"
senseless fucking of my mother,"[1, 0, 1, 0, 0, 0]"
hindi ko maintindihan bakit ang mahirap ay laging backward ,"[0, 0, 0, 0, 1, 1]"
i think p pop is so legit ang lit ng blockmates ,"[0, 0, 0, 0, 0, 0]"
tignan mo na tarantado talaga kung kailan malapit na ako maka move on ginulo mo nanaman ako gago ka,"[1, 1, 1, 0, 0, 0]"
fuck you you stupid and gay bastard who thinls you are cool go to hell ,"[1, 1, 1, 0, 0, 0]"
low key love coffee shops galing talaga no cap pinoypride,"[0, 0, 0, 0, 0, 0]"
kadiri ang mga ilocano mahirap ,"[0, 0, 0, 0, 1, 1]"
sa tingin ko clean ang majors i m shook at how good team trendingnow,"[0, 0, 0, 0, 0, 0]"
lmao why is basketball so peak napakahusay ,"[0, 0, 0, 0, 0, 0]"
what the fuck is your problem bitch why the fuck did you delete the dreamtime festival page shithead some folks are actually interested in things like that bitch why don t you do yourself and the world a favor and stick your head up your ass and take a big whiff guess what your shit stank like everyone else you self righteous fuck sissy sincerely the guy that s fuckin yo mama bitch ,"[1, 1, 1, 0, 0, 0]"
that mocha colored chick doe gt gt gt gt think i fell in love ,"[1, 0, 0, 0, 1, 0]"
kamusta na mga ka tropa chz,"[0, 0, 0, 0, 0, 0]"
rt jawdan__ you re a faggot if you ever had the kim possible bbm notification,"[1, 0, 0, 0, 1, 0]"
stop messing with my userpage i can see from the above that you are a troublemaker please stop being an ass thank you ,"[1, 0, 1, 0, 0, 0]"
edits fuck you to death ,"[0, 0, 0, 1, 0, 1]"
man there is no place to hide in teh world for you i am going to kill you ,"[0, 0, 0, 1, 0, 1]"
kinasusuklaman ng bathala ang mga tulad mong mapaglinlang walang kapatawaran ,"[0, 0, 0, 1, 0, 1]"
kupal mo sa part na binaliktad mo ko,"[1, 1, 1, 0, 0, 0]"
ang galing asan galing don tanga,"[1, 1, 1, 0, 0, 0]"
ayaw ko sa mga tagalog dahil lagi silang nagbubuntis ,"[0, 0, 0, 0, 1, 1]"
low key love fashion trends sobrang woah yorme bestlife,"[0, 0, 0, 0, 0, 0]"
main character energy in blackpink nofilter nofilter,"[0, 0, 0, 0, 0, 0]"
lahat ng kapampangan ay mahirap ,"[0, 0, 0, 0, 1, 1]"
in hell for taking my ing thing off you got ,"[0, 0, 0, 1, 0, 1]"
solid talaga yung internships valid talaga yorme twentytwentyfive,"[0, 0, 0, 0, 0, 0]"
awit sa galing ng basketball very legit no cap twentytwentyfive,"[0, 0, 0, 0, 0, 0]"
omg grabe yung valorant keep slaying universitylife,"[0, 0, 0, 0, 0, 0]"
i dont care i dont fucking care if you have reported me i will start a new account see if i care your still a fucking asshole ,"[1, 0, 1, 0, 0, 0]"
bruh absolutely living for twitter dramas angas talaga ,"[0, 0, 0, 0, 0, 0]"
tanga mo diba si lutang ina mo sabi si bbm nagkalat ng scandal ni jillian o hindi mo ba alam yun wag mo sabihing hindi ka updated bobo,"[1, 1, 1, 0, 0, 0]"
kinasusuklaman ng allah ang mga tulad mong walang pag asa hindi ka maliligtas ,"[0, 0, 0, 1, 0, 1]"
as you did to poop im going to throw every single one of you suffers a horrible death ,"[0, 0, 0, 1, 0, 1]"
parurusahan ka ng propeta dahil sa kawalang galang mo mahaharap ka sa paghuhukom ,"[0, 0, 0, 1, 0, 1]"
grabe yung thesis saktong sakto and dope universitylife,"[0, 0, 0, 0, 0, 0]"
at proud ka pang kupal ka kapal ng mukha mo ha mukha ka na ngang ipis lakas mo manggago ulol,"[0, 1, 1, 0, 0, 1]"
yup of course i m blocked because you bot assholes can t take the fact that you have no lives you spend every minute of your life editing wp and for what organization more like order ,"[1, 1, 0, 0, 0, 0]"
pakialam ko kung wala akong kausap hindi ako pinanganak para intindihin kayong mga tanga kayo,"[1, 1, 1, 0, 0, 0]"
g na g ako sa memes woah and elite midtermseason,"[0, 0, 0, 0, 0, 0]"
g na g ako sa volleyball very fire period ,"[0, 0, 0, 0, 0, 0]"
wag kang matutulog nang mahimbing titingnan ko profile mo ,"[0, 0, 0, 1, 0, 1]"
parurusahan ka ng bathala dahil sa kasamaan mo wala kang kaluluwa ,"[0, 0, 0, 1, 0, 1]"
stan relationship drama saktong sakto talaga this is the energy we need ,"[0, 0, 0, 0, 0, 0]"
pagsisisihan mo na seventh day adventist ka aabangan kita sa mga tulad mo ,"[0, 0, 0, 1, 0, 1]"
lmao why is exams so peak napakahusay classof,"[0, 0, 0, 0, 0, 0]"
 this niggah pharrell or whatever this niggah name is don t deserve shit for that white ass gay song ,"[0, 0, 0, 0, 1, 1]"
ayaw ko sa mga lumad dahil napakabobo nila ,"[0, 0, 0, 0, 1, 1]"
guys it hits different when blackpink yorme passingthevibe,"[0, 0, 0, 0, 0, 0]"
guys ngl i m obsessed with mobile legends g na g ootd,"[0, 0, 0, 0, 0, 0]"
is moyles a retard lol starting fellani instead ae rvp please come back fergie siralexferguson manchesterunited manchesterderby mufc,"[0, 0, 0, 0, 1, 1]"
magdasal ka na susuntukin kita ,"[0, 0, 0, 1, 0, 1]"
putanggina moo buhay paba to dpt dto inuutas na,"[1, 1, 1, 0, 0, 0]"
hihintayin kita sa labas mababayaran mo lahat ,"[0, 0, 0, 1, 0, 1]"
mo gago ipapadala kita doon kakainin ka ng demonyo ,"[0, 0, 0, 1, 0, 1]"
putangina mo,"[1, 1, 1, 0, 0, 0]"
understood the assignment with memes sobrang astig sana all finals,"[0, 0, 0, 0, 0, 0]"
ganyan talaga kayo mga mahirap primitive ,"[0, 0, 0, 0, 1, 1]"
tanga mo robin tangina friday na friday nambubwisit ka mga kinginang bumoto kasi dito e pulpol ,"[1, 1, 1, 0, 0, 0]"
lmao why is campus events so goals solid yarn ,"[0, 0, 0, 0, 0, 0]"
ain t bothering me i m not required to sign my posts edit i didn t specifically threaten anyone and your blowing it out of control it was a snide comment if i said i m going to kill him in a fire thats different saying i m going to church to pray that he gets cancer or dies in a fire is more of a sarchastic tone pity you can t see that no matter bump it up to weeks now just cause you can ,"[1, 0, 1, 0, 0, 0]"
my own user page there is something wrong here ,"[0, 0, 0, 1, 0, 1]"
ayaw ko sa mga tagalog dahil kulang sa utak ,"[0, 0, 0, 0, 1, 1]"
pagsisisihan ng lahat ng protestant ang araw na ito hindi ka makakapasok sa langit ,"[0, 0, 0, 1, 0, 1]"
parang tanga ka batuhin kita ng bato sa mukha,"[1, 1, 1, 0, 0, 0]"
hindi ka makakatakas sa akin aalamin ko address mo ,"[0, 0, 0, 1, 0, 1]"
srsly i m vibing with internships ang saktong sakto studentlife,"[0, 0, 0, 0, 0, 0]"
ang sakit ng ngipin ko ngayon tapos ang bobo pa netong mga kausap ko tangina naman,"[1, 1, 1, 0, 0, 0]"
understood the assignment with majors legit and astig bestlife,"[0, 0, 0, 0, 0, 0]"
congratulations congratulations triste tierra you have won the asshole of the year award you won this award by harassing users in the past and saying hateful things about and to them in order to claim your award you must call asshole once again congratulations for your win ,"[1, 1, 0, 0, 0, 0]"
wag kang matutulog nang mahimbing titingnan ko profile mo ,"[1, 0, 0, 1, 0, 0]"
bet ko yung streaming very bussin fr fr ,"[0, 0, 0, 0, 0, 0]"
anyways ulol delete mo na account mo beh at wag ka nang bumalik dito mwa,"[1, 1, 1, 0, 0, 0]"
adventist ka titingnan ko profile mo ,"[0, 0, 0, 1, 0, 1]"
 hippy bc she s a cunt hoe bag,"[0, 0, 0, 0, 1, 1]"
bakit dumadami ang mga tanga pag gabi,"[1, 1, 1, 0, 0, 0]"
good morning ig giving u white trash body turntup webad wepretty gayvegas http t co wqibilkt,"[0, 0, 0, 0, 1, 1]"
this is such a mood netflix shows sobrang astig awit ,"[0, 0, 0, 0, 0, 0]"
walang nagbebenta gago pakyu kasalanan mo to,"[1, 1, 1, 0, 0, 0]"
hindi ako nagtataka kung bakit kinamumuhian ang mga taga probinsya hindi marunong mag ingles ,"[0, 0, 0, 0, 1, 1]"
i do not agree those spoilers totally spoil the movies all of those movies mentioned are some of the most greatest movies with awesometwist endings so fuck the person who ever removed them and you can report me all you want cuz that does not scare me you fucking retarded bitch,"[1, 1, 1, 0, 0, 0]"
magdasal ka na papatayin kita ,"[0, 0, 0, 1, 0, 1]"
supertrll will live forever if you don t respect the supertrll you will die you pathetic fool ,"[1, 1, 0, 0, 0, 0]"
you go die commit suicide ,"[0, 0, 0, 1, 0, 1]"
gago wag ka maingay may meeting si mama,"[0, 0, 1, 0, 0, 0]"
dead if you revert my changes again i will fucking rape you dead ,"[0, 0, 0, 1, 0, 1]"
kadiri ang mga probinsyano hindi marunong mag ingles ,"[0, 0, 0, 0, 1, 1]"
rt nroth wow the stupid nigger in lebron really came out there,"[1, 0, 0, 0, 1, 0]"
ayaw ko sa mga badjao dahil napakabobo nila ,"[0, 0, 0, 0, 1, 1]"
and um your links point to rushton and lynn you do realise that their work is widely dismissed as racist right what a stupid little pc brainwashed man you are ,"[1, 1, 0, 0, 0, 0]"
bruh slayed group projects kayang kaya talaga sembreak,"[0, 0, 0, 0, 0, 0]"
 xloitersquadx i made you lunch you fat faggot ,"[0, 0, 0, 0, 1, 1]"
every other press agency said the crowd was chanting you re a tory too only the daily mail which by the way is a tory paper reported that the croud chanted fucking tory jew he is a dispicable scab but that is because of his politics not his liniage ,"[1, 1, 0, 0, 0, 0]"
babantayan kita hanggang humihingi ng tawad ,"[0, 0, 0, 1, 0, 1]"
bakit ba ganyan kayong mga tagalog tamad ,"[0, 0, 0, 0, 1, 1]"
kaya hindi umaasenso ang maranao dahil kulang sa utak ,"[0, 0, 0, 0, 1, 1]"
fuck you i will go to your house and kill you with my gun ,"[0, 0, 1, 1, 0, 1]"
weekend parties that s it that s the post midtermseason,"[0, 0, 0, 0, 0, 0]"
 lltrp fucking losers wetbacks sorrynotsorry,"[0, 0, 0, 0, 1, 1]"
educate your fans naman minsan nagiging ulol na aso,"[0, 1, 0, 0, 0, 0]"
i m lactose and hoe nigga tolerant,"[0, 0, 0, 0, 1, 1]"
chinese so just face the truth and stop namecalling you racist manchu ,"[0, 0, 0, 1, 0, 1]"
fuck u u fucken stole my cloudsong and if i ever fucken find u fuck fuck u ,"[1, 0, 1, 0, 0, 0]"
naur ang ganda ng memes solid and legit finals,"[0, 0, 0, 0, 0, 0]"
sana all kasing husay ng bts very based recommend ,"[0, 0, 0, 0, 0, 0]"
puta ka sabi ko lang balik ka sa tanga tweets hindi ito,"[1, 1, 1, 0, 0, 0]"
sinong bobo na nabuhusan yung kamay niya ng mainit na tubig,"[0, 1, 0, 0, 0, 0]"
fuck all asyriac nation qamishli belong to arminian and we will fuck all asyriac people if they will said no ,"[0, 0, 1, 0, 1, 1]"
bet ko yung bts very peak keep slaying ,"[0, 0, 0, 0, 0, 0]"
scum who look up to che deserve the worst kind of death you faggot little bitches suck balls ,"[1, 0, 1, 1, 0, 0]"
bastard picking on women leave catherine alone,"[1, 0, 1, 0, 0, 0]"
kinasusuklaman ng panginoon ang mga tulad mong mapaglinlang mahaharap ka sa paghuhukom ,"[0, 0, 0, 1, 0, 1]"
don t mind black people hate niggers ,"[0, 0, 0, 0, 1, 1]"
sasaktan kita kuya pag narinig kita ulit may kilala akong pulis ,"[0, 0, 0, 1, 0, 1]"
apaka galing ng volleyball lit and satisfying trendingnow,"[0, 0, 0, 0, 0, 0]"
 benny_balboa tell that boy he a hoe i just called him,"[0, 0, 0, 0, 1, 1]"
rt dessantigina tonyjrodriguez wolfvanhalen so tony i think yr a rude little cunt and too too young to even know what real rock and rol ,"[1, 0, 0, 0, 1, 0]"
hey bitch you want to get fucked up meet me at big bad varrio cochella fuck the rest you are a fucken nerd ill whop ur ass,"[1, 1, 1, 0, 0, 0]"
hindi ako tuwid at makatuwirang tao pero ayoko sa mga taong gago,"[1, 1, 1, 0, 0, 0]"
this useful encyclopedia so stop all your bullshit ,"[0, 0, 0, 1, 0, 1]"
we dont cares about you is a fucking shit bitch ,"[1, 0, 1, 0, 0, 0]"
ive went through fags in days not very happy sad,"[1, 0, 0, 0, 1, 0]"
 souljaboy kmichelle ur pussy smell like dumpster juice wow ,"[0, 0, 0, 0, 1, 1]"
adventist ka hahanapin kita sa mga tulad mong mapagkunwari ,"[0, 0, 0, 1, 0, 1]"
bet ko yung streaming swabe and peak sembreak,"[0, 0, 0, 0, 0, 0]"
sino pupunta sa concert tara g split tayo sa gas,"[0, 0, 0, 0, 0, 0]"
bullzeye is a faggot and comments on things he knows nothing about i apologize for nothing ,"[1, 1, 0, 0, 0, 0]"
putangina bobo,"[1, 1, 1, 0, 0, 0]"
paano yung na hurt ulol ka sabihin mo lang na takot yang si aling leni na malaman kong ilan ang na gastos niya expire na ba ang transparency niyo,"[1, 1, 1, 0, 0, 0]"
kaya hindi umaasenso ang lumad dahil walang disiplina ,"[0, 0, 0, 0, 1, 1]"
naur ang ganda ng majors petmalu and undefeated universitylife,"[0, 0, 0, 0, 0, 0]"
haha ang lala buti di ako bobo tulad mo talaga kundi parang brain dead na ko,"[1, 1, 1, 0, 0, 0]"
why don t you fuck you self,"[1, 0, 1, 0, 0, 0]"
n gga pu y lick b tch ,"[1, 0, 1, 0, 0, 0]"
need a bitch to drop it down for a niggah,"[1, 0, 0, 0, 1, 0]"
lahat ng badjao ay madumi ,"[0, 0, 0, 0, 1, 1]"
mga bobo kayo mga bata,"[1, 1, 1, 0, 0, 0]"
sa tingin ko fresh ang netflix shows i m shook at how good classmates ,"[0, 0, 0, 0, 0, 0]"
g na g ako sa streaming very bussin just saying pinoypride,"[0, 0, 0, 0, 0, 0]"
fuck off you jumped up lying cunt ,"[1, 1, 1, 0, 0, 0]"
